Started
-,-,-
5.00	-135.00	45.00	3790.00	976.00	-4547.00
10.00	-141.00	37.00	1202.00	1306.00	-2044.00
9.00	-113.00	35.00	-18.00	756.00	653.00
8.00	-87.00	45.00	457.00	-354.00	1464.00
9.00	-81.00	65.00	1501.00	-1159.00	756.00
9.00	-82.00	76.00	1977.00	-598.00	0.00
9.00	-86.00	71.00	1611.00	964.00	-579.00
9.00	-94.00	50.00	396.00	1483.00	-659.00
9.00	-97.00	40.00	-207.00	1312.00	-415.00
10.00	-92.00	45.00	-24.00	476.00	24.00
14.00	-86.00	56.00	720.00	238.00	360.00
19.00	-78.00	50.00	799.00	860.00	354.00
19.00	-73.00	36.00	-103.00	1477.00	-244.00
20.00	-71.00	30.00	-805.00	1495.00	-738.00
17.00	-75.00	21.00	-1086.00	897.00	-1715.00
10.00	-81.00	20.00	-708.00	-177.00	-2520.00
4.00	-92.00	26.00	-354.00	-1251.00	-3057.00
3.00	-103.00	41.00	36.00	-2050.00	-3033.00
2.00	-109.00	50.00	415.00	-1953.00	-2264.00
2.00	-108.00	58.00	341.00	-1385.00	-1202.00
2.00	-104.00	61.00	262.00	-976.00	-396.00
3.00	-97.00	60.00	244.00	61.00	-225.00
4.00	-90.00	51.00	170.00	1062.00	-109.00
5.00	-89.00	39.00	-134.00	1416.00	-390.00
5.00	-92.00	32.00	-85.00	1068.00	-646.00
3.00	-96.00	33.00	146.00	274.00	-775.00
2.00	-99.00	39.00	506.00	-494.00	-622.00
4.00	-100.00	50.00	683.00	-573.00	-457.00
6.00	-98.00	52.00	671.00	-73.00	-122.00
6.00	-93.00	43.00	48.00	671.00	177.00
episode: 1













-,-,-
20.00	-95.00	27.00	854.00	2636.00	-152.00
19.00	-96.00	20.00	-512.00	2874.00	250.00
16.00	-93.00	16.00	-1062.00	2593.00	469.00
17.00	-92.00	17.00	-73.00	1605.00	543.00
22.00	-94.00	23.00	1043.00	512.00	421.00
28.00	-95.00	28.00	2404.00	122.00	408.00
30.00	-95.00	32.00	2075.00	219.00	329.00
26.00	-94.00	31.00	1190.00	823.00	286.00
