-,-,-
20.00	-1.00	100.00	262.00	6.00	-335.00
19.00	-5.00	102.00	115.00	-18.00	-250.00
18.00	-2.00	101.00	244.00	195.00	-97.00
19.00	-1.00	101.00	421.00	189.00	-115.00
19.00	-3.00	104.00	67.00	207.00	-146.00
18.00	-5.00	103.00	-231.00	439.00	-36.00
19.00	-5.00	100.00	-238.00	531.00	183.00
20.00	0.00	95.00	-177.00	445.00	280.00
20.00	1.00	94.00	146.00	122.00	140.00
20.00	-2.00	105.00	-109.00	-122.00	-109.00
20.00	-4.00	106.00	-231.00	299.00	-42.00
19.00	-2.00	98.00	-79.00	561.00	189.00
20.00	0.00	99.00	-183.00	256.00	317.00
19.00	5.00	100.00	-311.00	170.00	207.00
18.00	0.00	100.00	-115.00	286.00	-299.00
19.00	-9.00	100.00	24.00	244.00	-366.00
19.00	-6.00	102.00	-195.00	128.00	201.00
19.00	4.00	105.00	-372.00	268.00	537.00
20.00	6.00	108.00	-421.00	592.00	54.00
20.00	2.00	106.00	-12.00	1062.00	-354.00
21.00	-3.00	101.00	73.00	1214.00	-311.00
23.00	-3.00	93.00	451.00	1263.00	-85.00
21.00	1.00	95.00	360.00	756.00	42.00
23.00	-1.00	101.00	170.00	421.00	-109.00
22.00	-1.00	104.00	-262.00	646.00	-79.00
22.00	0.00	103.00	-299.00	1049.00	-103.00
22.00	2.00	103.00	-152.00	1226.00	-152.00
23.00	0.00	103.00	323.00	1470.00	-415.00
25.00	0.00	102.00	787.00	1818.00	-494.00
26.00	0.00	102.00	1354.00	2331.00	-585.00
28.00	-3.00	101.00	1379.00	2911.00	-744.00
29.00	-8.00	97.00	1684.00	3405.00	-561.00
31.00	-9.00	95.00	2899.00	3363.00	97.00
32.00	-4.00	94.00	3454.00	3216.00	476.00
34.00	1.00	97.00	4852.00	3186.00	677.00
41.00	8.00	96.00	7281.00	3759.00	500.00
46.00	18.00	89.00	6689.00	4516.00	-360.00
51.00	16.00	68.00	5187.00	4803.00	-1989.00
48.00	6.00	47.00	2539.00	3826.00	-3656.00
46.00	-1.00	36.00	2227.00	3009.00	-4803.00
42.00	-16.00	8.00	3387.00	1031.00	-4943.00
31.00	-13.00	-18.00	952.00	-2478.00	-4553.00
7.00	2.00	-73.00	2197.00	-6982.00	-4577.00
-28.00	26.00	-165.00	8441.00	-13616.00	-6250.00
-89.00	22.00	-213.00	6793.00	-27282.00	-10833.00
-133.00	11.00	-197.00	-6494.00	-43859.00	-14978.00
-214.00	-53.00	-53.00	-10858.00	-50634.00	-15191.00
-252.00	-102.00	87.00	-16333.00	-55523.00	-10528.00
-248.00	-94.00	174.00	-15936.00	-52056.00	-1867.00
-239.00	-79.00	289.00	-18298.00	-48028.00	4907.00
-214.00	-36.00	399.00	-19555.00	-40521.00	12487.00
-176.00	56.00	399.00	-16217.00	-24066.00	17163.00
-160.00	108.00	399.00	-11553.00	-2575.00	11682.00
-136.00	101.00	262.00	2264.00	6756.00	6463.00
-116.00	13.00	108.00	8642.00	16168.00	189.00
-89.00	-21.00	23.00	4302.00	15075.00	640.00
-77.00	20.00	24.00	-67.00	8605.00	3411.00
-70.00	35.00	77.00	1043.00	4895.00	2191.00
-64.00	26.00	68.00	3649.00	5102.00	805.00
-52.00	43.00	67.00	4608.00	4718.00	653.00
-47.00	108.00	87.00	5767.00	3466.00	-775.00
-47.00	189.00	113.00	6573.00	3070.00	-5133.00
-72.00	286.00	143.00	13061.00	4132.00	-7971.00
-136.00	233.00	120.00	14880.00	9008.00	-26934.00
-170.00	72.00	69.00	18682.00	12182.00	-37145.00
-184.00	16.00	52.00	21734.00	13000.00	-39196.00
-182.00	-104.00	16.00	24285.00	13940.00	-39666.00
-134.00	-216.00	-40.00	26293.00	12347.00	-34625.00
-96.00	-266.00	-31.00	19262.00	4949.00	-22558.00
-70.00	-196.00	43.00	11816.00	-1306.00	-2722.00
-64.00	-77.00	108.00	3656.00	-1953.00	7415.00
-62.00	-1.00	115.00	2301.00	1885.00	8740.00
-55.00	18.00	100.00	2752.00	4321.00	6976.00
-49.00	-7.00	42.00	4516.00	7537.00	921.00
-41.00	-62.00	17.00	7177.00	5792.00	-1947.00
-35.00	-79.00	29.00	6933.00	2307.00	-555.00
-36.00	-67.00	54.00	4486.00	-97.00	1544.00
-37.00	-55.00	63.00	2160.00	-494.00	2465.00
-36.00	-48.00	65.00	-256.00	-543.00	2880.00
-37.00	-31.00	76.00	-1495.00	-573.00	2825.00
-40.00	-31.00	80.00	-3387.00	-335.00	2001.00
-43.00	-41.00	94.00	-3778.00	-512.00	1483.00
-47.00	-39.00	111.00	-3002.00	-73.00	1824.00
-47.00	-32.00	99.00	-1519.00	1409.00	2026.00
-44.00	-30.00	76.00	-207.00	1904.00	1751.00
-42.00	-30.00	72.00	305.00	1440.00	1666.00
-43.00	-28.00	74.00	567.00	207.00	1623.00
-43.00	-27.00	84.00	0.00	-549.00	1617.00
-44.00	-30.00	89.00	231.00	-579.00	1232.00
-43.00	-34.00	90.00	988.00	-396.00	897.00
-41.00	-40.00	91.00	1531.00	-305.00	921.00
-39.00	-40.00	93.00	1116.00	-274.00	1513.00
-39.00	-30.00	97.00	1171.00	-158.00	1885.00
-42.00	-17.00	92.00	567.00	573.00	1812.00
-42.00	-19.00	78.00	390.00	1129.00	689.00
-41.00	-33.00	77.00	-457.00	506.00	-195.00
-40.00	-43.00	87.00	-683.00	-201.00	-103.00
-39.00	-43.00	93.00	-292.00	-415.00	592.00
-38.00	-38.00	96.00	-244.00	-317.00	1220.00
-39.00	-28.00	98.00	-164.00	42.00	1251.00
-40.00	-26.00	89.00	-476.00	628.00	726.00
-41.00	-34.00	79.00	-1379.00	878.00	152.00
-42.00	-42.00	75.00	-2032.00	488.00	170.00
-42.00	-41.00	83.00	-1983.00	-268.00	878.00
-41.00	-36.00	88.00	-1245.00	-622.00	1611.00
-39.00	-24.00	98.00	-1220.00	-622.00	1660.00
-40.00	-16.00	100.00	-671.00	36.00	1129.00
-41.00	-24.00	93.00	-610.00	915.00	-158.00
-41.00	-37.00	80.00	-439.00	1190.00	-677.00
-41.00	-41.00	75.00	-122.00	573.00	-323.00
-41.00	-36.00	79.00	-12.00	-323.00	323.00
-41.00	-33.00	84.00	-42.00	-848.00	579.00
-42.00	-29.00	93.00	6.00	-854.00	494.00
-42.00	-29.00	97.00	6.00	-433.00	115.00
-42.00	-32.00	90.00	372.00	238.00	-164.00
